,Zone,Utilisation,Conformité,NombreUtilisations,NombreBatiments,NombreEtages,SurfacePlancherTotal,ConsoSite/S(kBtu/sf),AgeBatiment
400,Sud,Industriel,Compliant,3,1.0,1,104099,170.0,63
401,Nord,Supermarché,Compliant,2,1.0,1,58184,284.5,13
402,Nord,Supermarché,Compliant,1,1.0,1,58480,248.8000031,36
403,Centre,Bureau,Compliant,3,1.0,6,336700,41.59999847,11
404,Centre,Supermarché,Compliant,1,1.0,4,264008,100.5,20
405,Centre,Bureau,Compliant,3,1.0,2,62220,87.80000305,102
406,Centre,Bureau,Compliant,2,1.0,1,65430,46.20000076,46
407,Nord,Bureau,Compliant,2,1.0,3,102290,72.40000153,10
408,Centre,Autre,Compliant,1,1.0,3,80004,163.3999939,90
409,Sud,Industriel,Compliant,2,1.0,2,323916,24.79999924,25
410,Centre,Autre,Compliant,3,1.0,14,304052,69.40000153,84
411,Centre,Bureau,Compliant,3,1.0,4,85385,91.40000153,38
412,Sud,Supermarché,Compliant,2,1.0,2,98024,20.39999962,27
413,Centre,Autre,Compliant,3,1.0,1,65000,86.80000305,88
414,Centre,Bureau,Compliant,2,1.0,5,144573,65.40000153,26
415,Nord,Supermarché,Compliant,1,1.0,2,302812,24.10000038,66
416,Nord,Bureau,Compliant,1,1.0,5,86400,116.0999985,42
417,Nord,Autre,Compliant,1,0.0,2,98539,55.29999924,47
418,Nord,Bureau,Compliant,2,1.0,6,86483,73.59999847,35
419,Sud,Supermarché,Compliant,2,1.0,1,51600,21.79999924,40
420,Sud,Industriel,Compliant,1,1.0,1,140520,15.80000019,48
421,Centre,Bureau,Compliant,2,1.0,5,154029,50.59999847,30
422,Nord,Autre,Compliant,2,1.0,3,161789,99.69999695,11
423,Nord,Médical,Compliant,2,1.0,3,63909,74.59999847,11
424,Nord,Industriel,Compliant,2,1.0,2,53472,17.10000038,68
425,Sud,Industriel,Compliant,1,1.0,1,50417,36.59999847,36
427,Nord,Médical,Compliant,1,1.0,3,133298,117.3000031,55
428,Nord,Supermarché,Compliant,1,1.0,2,168619,37.29999924,51
429,Centre,Autre,Compliant,3,0.0,5,251827,280.3999939,14
430,Centre,Bureau,Compliant,2,1.0,4,175885,62.40000153,16
431,Sud,Industriel,Compliant,1,1.0,2,104786,9.800000191,47
432,Sud,Autre,Compliant,1,1.0,1,53040,34.40000153,16
433,Sud,Autre,Compliant,1,0.0,1,110689,21.10000038,43
434,Sud,Bureau,Compliant,1,1.0,1,53620,38.40000153,68
435,Sud,Bureau,Compliant,1,1.0,1,50008,64.0,78
436,Centre,Bureau,Compliant,2,1.0,4,291176,34.20000076,7
437,Sud,Industriel,Compliant,2,1.0,1,50832,50.20000076,59
438,Sud,Industriel,Compliant,1,1.0,1,76354,37.20000076,45
439,Sud,Industriel,Compliant,1,1.0,1,98480,28.79999924,60
440,Nord,Autre,Compliant,4,1.0,2,53002,64.40000153,112
441,Centre,Autre,Compliant,3,1.0,3,175918,232.3000031,8
442,Centre,Autre,Compliant,2,1.0,3,169785,180.6999969,96
443,Centre,Bureau,Compliant,4,1.0,11,124721,111.4000015,45
444,Centre,Bureau,Compliant,2,1.0,7,94002,60.29999924,46
445,Sud,Industriel,Compliant,1,1.0,1,93020,13.5,42
446,Centre,Autre,Compliant,2,1.0,1,23000,30.89999962,70
447,Sud,Supermarché,Compliant,2,1.0,1,61053,241.3000031,14
448,Centre,Bureau,Non-Compliant,1,5.0,7,154159,58.0,103
449,Centre,Bureau,Compliant,1,1.0,5,78920,36.0,112
450,Centre,Bureau,Compliant,2,1.0,7,99440,74.30000305,110
451,Centre,Bureau,Compliant,1,1.0,6,73260,44.70000076,109
452,Centre,Bureau,Compliant,2,1.0,4,69817,35.90000153,116
453,Centre,Bureau,Compliant,2,1.0,4,84750,29.79999924,116
454,Centre,Bureau,Compliant,3,1.0,6,75496,59.29999924,116
455,Centre,Bureau,Compliant,2,1.0,4,164380,53.0,116
456,Centre,Bureau,Compliant,1,1.0,7,160580,27.0,109
